Country,Economy,Maiden,Match ID,Name,Overs Bowled,Runs,Wickets,Dots,Fours,Noballs,Sixes,Wides
South Africa,12.25,0,2729,Marco Jansen,4.0,49,1,4,5,1,2,1
South Africa,7.66,0,2729,Keshav Maharaj,3.0,23,2,10,3,0,1,0
South Africa,9.0,0,2729,Kagiso Rabada,4.0,36,1,8,2,0,2,2
South Africa,8.0,0,2729,Aiden Markram,2.0,16,0,1,0,0,1,0
South Africa,6.5,0,2729,Anrich Nortje,4.0,26,2,7,2,0,0,2
South Africa,8.66,0,2729,Tabraiz Shamsi,3.0,26,0,4,1,0,1,1
India,5.0,0,2729,Arshdeep Singh,4.0,20,2,12,2,0,0,0
India,4.5,0,2729,Jasprit Bumrah,4.0,18,2,14,2,0,0,0
India,12.25,0,2729,Axar Patel,4.0,49,1,8,5,0,3,2
India,11.25,0,2729,Kuldeep Yadav,4.0,45,0,6,3,0,3,0
India,6.66,0,2729,Hardik Pandya,3.0,20,3,9,1,1,1,1
India,12.0,0,2729,Ravindra Jadeja,1.0,12,0,0,0,0,1,0
United States of America,10.25,0,2632,Ali Khan,4.0,41,1,11,5,0,2,2
United States of America,8.0,0,2632,Saurabh Netravalkar,2.0,16,0,3,2,0,0,0
United States of America,6.75,0,2632,Harmeet Singh,4.0,27,1,11,3,0,1,0
United States of America,8.0,0,2632,Jasdeep Singh,3.0,24,0,7,4,0,0,0
United States of America,11.33,0,2632,Shadley van Schalkwyk,3.0,34,0,1,1,0,2,0
United States of America,15.0,0,2632,Steven Taylor,1.0,15,0,1,0,0,2,0
United States of America,9.66,0,2632,Corey Anderson,3.0,29,1,4,2,0,1,0
Canada,8.5,0,2632,Kaleem Sana,4.0,34,1,9,4,0,0,3
Canada,14.66,0,2632,Jeremy Gordon,3.0,44,0,7,4,2,3,3
Canada,6.33,0,2632,Dilon Heyliger,3.0,19,1,9,0,0,1,2
Canada,10.5,0,2632,Saad Bin Zafar,4.0,42,0,9,2,0,4,0
Canada,15.37,0,2632,Nikhil Dutta,2.4,41,1,5,2,1,4,2
Canada,15.0,0,2632,Pargat Singh,1.0,15,0,0,1,0,1,0
West Indies,3.0,0,2633,Akeal Hosein,3.0,9,1,13,1,0,0,0
West Indies,7.66,0,2633,Romario Shepherd,3.0,23,1,5,1,0,0,1
West Indies,6.33,0,2633,Andre Russell,3.0,19,2,8,2,0,0,1
West Indies,6.5,0,2633,Roston Chase,4.0,26,0,11,1,0,1,3
West Indies,8.5,0,2633,Alzarri Joseph,4.0,34,2,11,5,1,0,1
West Indies,8.0,0,2633,Gudakesh Motie,3.0,24,1,7,2,0,1,0
Papua New Guinea,10.0,0,2633,Kabua Morea,3.0,30,0,7,6,0,0,0
Papua New Guinea,4.5,1,2633,Alei Nao,2.0,9,1,9,2,0,0,0
