Team 1,Team 2,Winner,Margin,Ground,Match Date,Match ID,POTM,Toss Winner,Decision,Stage
U.S.A.,Canada,U.S.A.,7 wickets,Dallas,2024-06-01,2632,Aaron Jones,United States of America,elected to field first,Group
West Indies,P.N.G.,West Indies,5 wickets,Providence,2024-06-02,2633,Roston Chase,West Indies,elected to field first,Group
Namibia,Oman,Namibia,Tied,Bridgetown,2024-06-02,2634,David Wiese,Namibia,elected to field first,Group
South Africa,Sri Lanka,South Africa,6 wickets,New York,2024-06-03,2635,Anrich Nortje,Sri Lanka,elected to bat first,Group
Afghanistan,Uganda,Afghanistan,125 runs,Providence,2024-06-03,2636,Fazalhaq Farooqi,Uganda,elected to field first,Group
England,Scotland,,No Result,Bridgetown,2024-06-04,2637,,Scotland,elected to bat first,Group
Nepal,Netherlands,Netherlands,6 wickets,Dallas,2024-06-04,2638,Tim Pringle,Netherlands,elected to field first,Group
India,Ireland,India,8 wickets,New York,2024-06-05,2639,Jasprit Bumrah,India,elected to field first,Group
P.N.G.,Uganda,Uganda,3 wickets,Providence,2024-06-05,2640,Riazat Ali Shah,Uganda,elected to field first,Group
Australia,Oman,Australia,39 runs,Bridgetown,2024-06-05,2641,Marcus Stoinis,Oman,elected to field first,Group
U.S.A.,Pakistan,U.S.A.,Tied,Dallas,2024-06-06,2642,Monank Patel,United States of America,elected to field first,Group
Namibia,Scotland,Scotland,5 wickets,Bridgetown,2024-06-06,2643,Michael Leask,Namibia,elected to bat first,Group
Bangladesh,Sri Lanka,Bangladesh,2 wickets,Dallas,2024-06-07,2646,Rishad Hossain,Bangladesh,elected to field first,Group
Canada,Ireland,Canada,12 runs,New York,2024-06-07,2644,Nicholas Kirton,Ireland,elected to field first,Group
Afghanistan,New Zealand,Afghanistan,84 runs,Providence,2024-06-07,2645,Rahmanullah Gurbaz,New Zealand,elected to field first,Group
Netherlands,South Africa,South Africa,4 wickets,New York,2024-06-08,2649,David Miller,South Africa,elected to field first,Group
Australia,England,Australia,36 runs,Bridgetown,2024-06-08,2650,Adam Zampa,England,elected to field first,Group
West Indies,Uganda,West Indies,134 runs,Providence,2024-06-08,2651,Akeal Hosein,West Indies,elected to bat first,Group
India,Pakistan,India,6 runs,New York,2024-06-09,2658,Jasprit Bumrah,Pakistan,elected to field first,Group
Oman,Scotland,Scotland,7 wickets,North Sound,2024-06-09,2659,Brandon McMullen,Oman,elected to bat first,Group
Bangladesh,South Africa,South Africa,4 runs,New York,2024-06-10,2664,Heinrich Klaasen,South Africa,elected to bat first,Group
Australia,Namibia,Australia,9 wickets,North Sound,2024-06-11,2666,Adam Zampa,Australia,elected to field first,Group
Canada,Pakistan,Pakistan,7 wickets,New York,2024-06-11,2665,Mohammad Amir,Pakistan,elected to field first,Group
Nepal,Sri Lanka,,ABANDONED,Lauderhill,2024-06-12,2730,,,,Group
U.S.A.,India,India,7 wickets,New York,2024-06-12,2671,Arshdeep Singh,India,elected to field first,Group
West Indies,New Zealand,West Indies,13 runs,Tarouba,2024-06-12,2672,Sherfane Rutherford,New Zealand,elected to field first,Group
Afghanistan,P.N.G.,Afghanistan,7 wickets,Tarouba,2024-06-13,2679,Fazalhaq Farooqi,Afghanistan,elected to field first,Group
England,Oman,England,8 wickets,North Sound,2024-06-13,2678,Adil Rashid,England,elected to field first,Group
Bangladesh,Netherlands,Bangladesh,25 runs,Kingstown,2024-06-13,2677,Shakib Al Hasan,Netherlands,elected to field first,Group
New Zealand,Uganda,New Zealand,9 wickets,Tarouba,2024-06-14,2682,Tim Southee,New Zealand,elected to field first,Group
Nepal,South Africa,South Africa,1 run,Kingstown,2024-06-14,2681,Tabraiz Shamsi,Nepal,elected to field first,Group
U.S.A.,Ireland,,ABANDONED,Lauderhill,2024-06-14,2731,,,,Group
Canada,India,,ABANDONED,Lauderhill,2024-06-15,2732,,,,Group
Australia,Scotland,Australia,5 wickets,Gros Islet,2024-06-15,2689,Marcus Stoinis,Australia,elected to field first,Group
England,Namibia,England,41 runs,North Sound,2024-06-15,2688,Harry Brook,Namibia,elected to field first,Group
Ireland,Pakistan,Pakistan,3 wickets,Lauderhill,2024-06-16,2697,Shaheen Shah Afridi,Pakistan,elected to field first,Group
Bangladesh,Nepal,Bangladesh,21 runs,Kingstown,2024-06-16,2698,Tanzim Hasan Sakib,Nepal,elected to field first,Group
Netherlands,Sri Lanka,Sri Lanka,83 runs,Gros Islet,2024-06-16,2699,Charith Asalanka,Netherlands,elected to field first,Group
New Zealand,P.N.G.,New Zealand,7 wickets,Tarouba,2024-06-17,2702,Lockie Ferguson,New Zealand,elected to field first,Group
West Indies,Afghanistan,West Indies,104 runs,Gros Islet,2024-06-17,2703,Nicholas Pooran,Afghanistan,elected to field first,Group
South Africa,U.S.A.,South Africa,18 runs,North Sound,2024-06-19,2708,Quinton de Kock,United States of America,elected to field first,Super 8
West Indies,England,England,8 wickets,Gros Islet,2024-06-19,2709,Phil Salt,England,elected to field first,Super 8
Afghanistan,India,India,47 runs,Bridgetown,2024-06-20,2710,Suryakumar Yadav,India,elected to bat first,Super 8
Australia,Bangladesh,Australia,28 runs,North Sound,2024-06-20,2711,Pat Cummins,Australia,elected to field first,Super 8
England,South Africa,South Africa,7 runs,Gros Islet,2024-06-21,2712,Quinton de Kock,England,elected to field first,Super 8
West Indies,U.S.A.,West Indies,9 wickets,Bridgetown,2024-06-21,2713,Roston Chase,West Indies,elected to field first,Super 8
Bangladesh,India,India,50 runs,North Sound,2024-06-22,2716,Hardik Pandya,Bangladesh,elected to field first,Super 8
Afghanistan,Australia,Afghanistan,21 runs,Kingstown,2024-06-22,2717,Gulbadin Naib,Australia,elected to field first,Super 8
England,U.S.A.,England,10 wickets,Bridgetown,2024-06-23,2719,Adil Rashid,England,elected to field first,Super 8
West Indies,South Africa,South Africa,3 wickets,North Sound,2024-06-23,2720,Tabraiz Shamsi,South Africa,elected to field first,Super 8
Australia,India,India,24 runs,Gros Islet,2024-06-24,2721,Rohit Sharma,Australia,elected to field first,Super 8
Afghanistan,Bangladesh,Afghanistan,8 runs,Kingstown,2024-06-24,2722,Naveen-ul-Haq,Afghanistan,elected to bat first,Super 8
