Age,Batting,Bowling,Cap,Country,Name,Role
22y 155d,Right hand Bat,,VC,Afghanistan,Rahmanullah Gurbaz,Wicketkeeper Batter
26y 39d,Left hand Bat,Slow Left arm Orthodox,,Afghanistan,Hazratullah Zazai,Opening Batter
22y 141d,Right hand Bat,Right arm Medium fast,,Afghanistan,Ibrahim Zadran,Opening Batter
19y 90d,Right hand Bat,,,Afghanistan,Mohammad Ishaq,Wicketkeeper Batter
31y 73d,Left hand Bat,Right arm Offbreak,,Afghanistan,Najibullah Zadran,Middle order Batter
25y 224d,Right hand Bat,Legbreak Googly,C,Afghanistan,Rashid Khan,Bowling Allrounder
24y 38d,Right hand Bat,Right arm Medium fast,,Afghanistan,Azmatullah Omarzai,Allrounder
32y 332d,Right hand Bat,Right arm Medium fast,,Afghanistan,Gulbadin Naib,Batting Allrounder
25y 264d,Right hand Bat,Right arm Medium,,Afghanistan,Karim Janat,Bowling Allrounder
39y 121d,Right hand Bat,Right arm Offbreak,,Afghanistan,Mohammad Nabi,Allrounder
20y 6d,Left hand Bat,Slow Left arm Orthodox,,Afghanistan,Nangeyalia Kharote,Allrounder
29y 265d,Left hand Bat,Left arm Fast medium,,Afghanistan,Fareed Ahmad,Bowler
23y 222d,Right hand Bat,Left arm Fast medium,,Afghanistan,Fazalhaq Farooqi,Bowler
24y 221d,Right hand Bat,Right arm Medium fast,,Afghanistan,Naveen-ul-Haq,Bowler
19y 119d,Right hand Bat,Left arm Wrist spin,,Afghanistan,Noor Ahmad,Bowler
23y 34d,Right hand Bat,Right arm Offbreak,,Afghanistan,Mujeeb Ur Rahman,Bowler
30y 285d,Right hand Bat,Right arm Medium fast,C,West Indies,Rovman Powell,Middle order Batter
35y 110d,Right hand Bat,,,West Indies,Johnson Charles,Wicketkeeper Batter
27y 129d,Left hand Bat,,,West Indies,Shimron Hetmyer,Middle order Batter
30y 175d,Right hand Bat,,,West Indies,Shai Hope,Wicketkeeper Batter
28y 214d,Left hand Bat,Right arm Offbreak,,West Indies,Nicholas Pooran,Wicketkeeper Batter
25y 262d,Left hand Bat,Right arm Fast medium,,West Indies,Sherfane Rutherford,Middle order Batter
29y 139d,Right hand Bat,,,West Indies,Brandon King,Top order Batter
32y 42d,Right hand Bat,Right arm Offbreak,,West Indies,Roston Chase,Allrounder
31y 238d,Left hand Bat,Right arm Medium,,West Indies,Kyle Mayers,Batting Allrounder
36y 4d,Right hand Bat,Right arm Fast,,West Indies,Andre Russell,Allrounder
29y 159d,Right hand Bat,Right arm Fast medium,,West Indies,Romario Shepherd,Bowling Allrounder
32y 180d,Right hand Bat,Right arm Medium fast,,West Indies,Jason Holder,Bowling Allrounder
27y 165d,Right hand Bat,Right arm Fast,VC,West Indies,Alzarri Joseph,Bowler
31y 8d,Left hand Bat,Slow Left arm Orthodox,,West Indies,Akeal Hosein,Bowler
24y 246d,Left hand Bat,Right arm Fast,,West Indies,Shamar Joseph,Bowler
27y 120d,Left hand Bat,Left arm Fast medium,,West Indies,Obed McCoy,Bowler
29y 35d,Left hand Bat,Slow Left arm Orthodox,,West Indies,Gudakesh Motie,Bowler
31y 2d,Right hand Bat,, C,United States of America,Monank Patel,Wicketkeeper Batter
29y 197d,Right hand Bat,Legbreak Googly,VC,United States of America,Aaron Jones,Top order Batter
30y 161d,Right hand Bat,,,United States of America,Andries Gous,Wicketkeeper Batter
29y 348d,Right hand Bat,Right arm Offbreak,,United States of America,Nitish Kumar,Top order Batter
29y 131d,Right hand Bat,Right arm Medium fast,,United States of America,Shayan Jahangir,Batter
30y 176d,Left hand Bat,Right arm Offbreak,,United States of America,Steven Taylor,Opening Batter
33y 142d,Left hand Bat,Left arm Medium fast,,United States of America,Corey Anderson,Batting Allrounder
31y 239d,Left hand Bat,Slow Left arm Orthodox,,United States of America,Harmeet Singh,Bowling Allrounder
33y 78d,Right hand Bat,Right arm Offbreak,,United States of America,Milind Kumar,Allrounder
36y 13d,Right hand Bat,Slow Left arm Orthodox,,United States of America,Nisarg Patel,Allrounder
35y 272d,Left hand Bat,Right arm Medium,,United States of America,Shadley van Schalkwyk,Allrounder
33y 142d,Right hand Bat,Right arm Fast medium,,United States of America,Ali Khan,Bowler
31y 83d,Right hand Bat,Right arm Medium,,United States of America,Jasdeep Singh,Bowler
33y 62d,Right hand Bat,Slow Left arm Orthodox,,United States of America,Nosthush Kenjige,Bowler
32y 200d,Right hand Bat,Left arm Fast medium,,United States of America,Saurabh Netravalkar,Bowler
23y 100d,Right hand Bat,,,Uganda,Fred Achelam,Wicketkeeper Batter
34y 350d,Right hand Bat,Right arm Offbreak,,Uganda,Roger Mukasa,Batter
23y 146d,Right hand Bat,,,Uganda,Robinson Obuya,Batter
35y 262d,Right hand Bat,Slow Left arm Orthodox,,Uganda,Ronak Patel,Batter
27y 260d,Left hand Bat,Right arm Slow,,Uganda,Simon Ssesazi,Wicketkeeper Batter
26y 76d,Right hand Bat,Right arm Medium,VC,Uganda,Riazat Ali Shah,Batting Allrounder
32y 228d,Left hand Bat,Left arm Medium,,Uganda,Dinesh Nakrani,Allrounder
43y 252d,Right hand Bat,Right arm Offbreak,,Uganda,Frank Nsubuga,Allrounder
29y 225d,Left hand Bat,Slow Left arm Orthodox,,Uganda,Alpesh Ramjani,Allrounder
25y 177d,Right hand Bat,Right arm Medium,,Uganda,Kenneth Waiswa,Allrounder
32y 227d,Right hand Bat,"Right arm Fast medium, Right arm Offbreak, Legbreak Googly",C,Uganda,Brian Masaba,Bowler
34y 21d,Right hand Bat,Right arm Medium fast,,Uganda,Bilal Hassan,Bowler
22y 130d,Right hand Bat,Right arm Medium,,Uganda,Cosmas Kyewuta,Bowler
21y 31d,Right hand Bat,Right arm Medium fast,,Uganda,Juma Miyagi,Bowler
30y 268d,Right hand Bat,Slow Left arm Orthodox,,Uganda,Henry Ssenyondo,Bowler
29y 97d,Right hand Bat,Legbreak,,Sri Lanka,Kusal Mendis,Wicketkeeper Batter
25y 357d,Right hand Bat,,,Sri Lanka,Pathum Nissanka,Top order Batter
28y 253d,Right hand Bat,,,Sri Lanka,Sadeera Samarawickrama,Wicketkeeper Batter
26y 285d,Right hand Bat,Legbreak,C,Sri Lanka,Wanindu Hasaranga,Allrounder
26y 315d,Left hand Bat,Right arm Offbreak,VC,Sri Lanka,Charith Asalanka,Batting Allrounder
32y 246d,Right hand Bat,Right arm Offbreak,,Sri Lanka,Dhananjaya de Silva,Allrounder
36y 342d,Right hand Bat,Right arm Medium,,Sri Lanka,Angelo Mathews,Allrounder
25y 222d,Left hand Bat,"Right arm Offbreak, Slow Left arm Orthodox",,Sri Lanka,Kamindu Mendis,Allrounder
32y 243d,Right hand Bat,Right arm Medium,,Sri Lanka,Dasun Shanaka,Allrounder
32y 119d,Right hand Bat,Right arm Fast,,Sri Lanka,Dushmantha Chameera,Bowler
23y 234d,Right hand Bat,Left arm Fast medium,,Sri Lanka,Dilshan Madushanka,Bowler
21y 143d,Right hand Bat,Right arm Fast,,Sri Lanka,Matheesha Pathirana,Bowler
23y 282d,Right hand Bat,Right arm Offbreak,,Sri Lanka,Maheesh Theekshana,Bowler
29y 277d,Right hand Bat,Right arm Medium fast,,Sri Lanka,Nuwan Thushara,Bowler
21y 121d,Left hand Bat,Slow Left arm Orthodox,,Sri Lanka,Dunith Wellalage,Bowler
29y 209d,Right hand Bat,Right arm Offbreak,C,South Africa,Aiden Markram,Opening Batter
31y 135d,Left hand Bat,,,South Africa,Quinton de Kock,Wicketkeeper Batter
34y 260d,Right hand Bat,Right arm Offbreak,,South Africa,Reeza Hendricks,Opening Batter
32y 275d,Right hand Bat,Right arm Offbreak,,South Africa,Heinrich Klaasen,Wicketkeeper Batter
34y 325d,Left hand Bat,Right arm Offbreak,,South Africa,David Miller,Middle order Batter
27y 294d,Left hand Bat,,,South Africa,Ryan Rickelton,Wicketkeeper Batter
23y 260d,Right hand Bat,Right arm Offbreak,,South Africa,Tristan Stubbs,Batter
23y 365d,Right hand Bat,Left arm Medium fast,,South Africa,Marco Jansen,Bowling Allrounder
31y 43d,Right hand Bat,Right arm Medium fast,,South Africa,Ottneil Baartman,Bowler
23y 211d,Right hand Bat,Right arm Fast,,South Africa,Gerald Coetzee,Bowler
29y 192d,Right hand Bat,Slow Left arm Orthodox,,South Africa,Bjorn Fortuin,Bowler
34y 83d,Right hand Bat,Slow Left arm Orthodox,,South Africa,Keshav Maharaj,Bowler
30y 166d,Right hand Bat,Right arm Fast,,South Africa,Anrich Nortje,Bowler
28y 341d,Left hand Bat,Right arm Fast,,South Africa,Kagiso Rabada,Bowler
34y 72d,Right hand Bat,Left arm Wrist spin,,South Africa,Tabraiz Shamsi,Bowler
37y 33d,Right hand Bat,Right arm Medium fast,C,Scotland,Richie Berrington,Top order Batter
31y 204d,Right hand Bat,,,Scotland,Matthew Cross,Wicketkeeper Batter
33y 22d,Left hand Bat,Right arm Offbreak,,Scotland,Ollie Hairs,Opening Batter
26y 122d,Right hand Bat,Right arm Offbreak,,Scotland,Michael Jones,Top order Batter
31y 75d,Left hand Bat,Right arm Medium fast,,Scotland,George Munsey,Opening Batter
19y 329d,Right hand Bat,,,Scotland,Charlie Tear,Wicketkeeper Batter
33y 190d,Right hand Bat,Right arm Offbreak,,Scotland,Michael Leask,Allrounder
24y 201d,Right hand Bat,Right arm Medium,,Scotland,Brandon McMullen,Batting Allrounder
25y 180d,Right hand Bat,Left arm Medium,,Scotland,Brad Currie,Bowler
33y 207d,Right hand Bat,Legbreak,,Scotland,Chris Greaves,Bowler
20y 343d,Right hand Bat,Right arm Medium fast,,Scotland,Jack Jarvis,Bowler
32y 348d,Right hand Bat,Right arm Medium fast,,Scotland,Safyaan Sharif,Bowler
30y 69d,Right hand Bat,Right arm Fast medium,,Scotland,Chris Sole,Bowler
27y 282d,Left hand Bat,Slow Left arm Orthodox,,Scotland,Mark Watt,Bowler
27y 252d,Right hand Bat,Right arm Fast medium,,Scotland,Brad Wheal,Bowler
36y 277d,Left hand Bat,Right arm Offbreak,C,Papua New Guinea,Assad Vala,Batter
31y 320d,Left hand Bat,Right arm Offbreak,,Papua New Guinea,Sese Bau,Middle order Batter
28y 203d,Right hand Bat,,,Papua New Guinea,Kiplin Doriga,Wicketkeeper Batter
29y 7d,Right hand Bat,Right arm Offbreak,,Papua New Guinea,Hiri Hiri,Middle order Batter
31y 139d,Right hand Bat,"Right arm Fast medium, Legbreak",,Papua New Guinea,Lega Siaka,Opening Batter
34y 206d,Right hand Bat,,,Papua New Guinea,Tony Ura,Opening Batter
22y 272d,Left hand Bat,,,Papua New Guinea,Hila Vare,Batter
32y 24d,Left hand Bat,Legbreak,VC,Papua New Guinea,Charles Amini,Allrounder
23y 137d,,,,Papua New Guinea,Jack Gardner,Bowler
22y 261d,Left hand Bat,Left arm Fast,,Papua New Guinea,Semo Kamea,Bowler
20y 113d,Left hand Bat,Slow Left arm Orthodox,,Papua New Guinea,John Kariko,Bowler
30y 221d,Right hand Bat,Left arm Medium,,Papua New Guinea,Kabua Morea,Bowler
30y 151d,Right hand Bat,Right arm Medium,,Papua New Guinea,Alei Nao,Bowler
32y 171d,Right hand Bat,Right arm Medium fast,,Papua New Guinea,Chad Soper,Bowler
30y 158d,Right hand Bat,Right arm Medium,,Papua New Guinea,Norman Vanua,Bowler
29y 222d,Right hand Bat,Right arm Offbreak,C,Pakistan,Babar Azam,Batter
25y 288d,Right hand Bat,,,Pakistan,Azam Khan,Wicketkeeper Batter
34y 44d,Left hand Bat,Slow Left arm Orthodox,,Pakistan,Fakhar Zaman,Opening Batter
33y 264d,Right hand Bat,Right arm Offbreak,,Pakistan,Iftikhar Ahmed,Middle order Batter
31y 358d,Right hand Bat,Right arm Medium,,Pakistan,Mohammad Rizwan,Wicketkeeper Batter
22y ,Left hand Bat,"Right arm Medium fast, Right arm Offbreak",,Pakistan,Saim Ayub,Top order Batter
29y 14d,Right hand Bat,Right arm Offbreak,,Pakistan,Usman Khan,Top order Batter
35y 158d,Left hand Bat,Slow Left arm Orthodox,,Pakistan,Imad Wasim,Allrounder
25y 233d,Right hand Bat,Legbreak,,Pakistan,Shadab Khan,Allrounder
23y 49d,Right hand Bat,Right arm Medium fast,,Pakistan,Abbas Afridi,Bowler
25y 256d,Right hand Bat,Legbreak Googly,,Pakistan,Abrar Ahmed,Bowler
30y 199d,Right hand Bat,Right arm Fast,,Pakistan,Haris Rauf,Bowler
32y 41d,Left hand Bat,Left arm Fast medium,,Pakistan,Mohammad Amir,Bowler
21y 99d,Right hand Bat,Right arm Fast,,Pakistan,Naseem Shah,Bowler
24y 48d,Left hand Bat,Left arm Fast,,Pakistan,Shaheen Shah Afridi,Bowler
31y 239d,Right hand Bat,"Right arm Offbreak, Legbreak Googly",C,Oman,Aqib Ilyas,Top order Batter
27y 11d,Right hand Bat,Right arm Offbreak,,Oman,Pratik Athavale,Wicketkeeper Batter
27y 201d,Right hand Bat,,,Oman,Khalid Kail,Middle order Batter
37y 18d,Right hand Bat,Right arm Medium fast,,Oman,Mehran Khan,Batter
41y 264d,Right hand Bat,,,Oman,Naseem Khushi,Wicketkeeper
28y 203d,Right hand Bat,Right arm Offbreak,,Oman,Kashyap Prajapati,Top order Batter
31y 147d,Right hand Bat,Right arm Medium,,Oman,Shoaib Khan,Batter
36y 190d,Left hand Bat,Slow Left arm Orthodox,,Oman,Zeeshan Maqsood,Opening Batter
31y 245d,Left hand Bat,Slow Left arm Orthodox,,Oman,Ayaan Khan,Allrounder
41y 240d,Right hand Bat,Right arm Medium fast,,Oman,Mohammad Nadeem,Allrounder
37y 21d,Left hand Bat,Left arm Medium fast,,Oman,Bilal Khan,Bowler
30y 258d,Right hand Bat,Right arm Medium fast,,Oman,Fayyaz Butt,Bowler
33y 129d,Right hand Bat,Right arm Medium,,Oman,Kaleemullah,Bowler
27y 259d,Right hand Bat,Right arm Medium,,Oman,Rafiullah,Bowler
36y 87d,Left hand Bat,Slow Left arm Orthodox,,Oman,Shakeel Ahmed,Bowler
33y 265d,Right hand Bat,Right arm Offbreak,C,New Zealand,Kane Williamson,Top order Batter
25y 7d,Right hand Bat,,,New Zealand,Finn Allen,Top order Batter
32y 296d,Left hand Bat,Right arm Medium,,New Zealand,Devon Conway,Wicketkeeper Batter
33y 75d,Left hand Bat,Right arm Offbreak,,New Zealand,Michael Bracewell,Batting Allrounder
29y 307d,Left hand Bat,Slow Left arm Orthodox,,New Zealand,Mark Chapman,Allrounder
32y 345d,Right hand Bat,Right arm Medium,,New Zealand,Daryl Mitchell,Batting Allrounder
33y 225d,Left hand Bat,Right arm Medium fast,,New Zealand,James Neesham,Batting Allrounder
27y 145d,Right hand Bat,Right arm Offbreak,,New Zealand,Glenn Phillips,Allrounder
24y 163d,Left hand Bat,Slow Left arm Orthodox,,New Zealand,Rachin Ravindra,Batting Allrounder
32y 84d,Left hand Bat,Slow Left arm Orthodox,,New Zealand,Mitchell Santner,Bowling Allrounder
34y 282d,Right hand Bat,Left arm Fast medium,,New Zealand,Trent Boult,Bowler
32y 321d,Right hand Bat,Right arm Fast,,New Zealand,Lockie Ferguson,Bowler
32y 137d,Right hand Bat,Right arm Fast medium,,New Zealand,Matt Henry,Bowler
31y 181d,Right hand Bat,Legbreak,,New Zealand,Ish Sodhi,Bowler
35y 140d,Right hand Bat,Right arm Medium fast,,New Zealand,Tim Southee,Bowler
27y 264d,Right hand Bat,, C,Netherlands,Scott Edwards,Wicketkeeper Batter
40y 10d,Right hand Bat,Right arm Offbreak,,Netherlands,Wesley Barresi,Batter
20y 329d,Right hand Bat,Right arm Fast,,Netherlands,Michael Levitt,Top order Batter
30y 70d,Right hand Bat,Right arm Offbreak,,Netherlands,Max O'Dowd,Opening Batter
21y 125d,Left hand Bat,Right arm Medium,,Netherlands,Vikramjit Singh,Opening Batter
24y 180d,Right hand Bat,Right arm Fast medium,,Netherlands,Bas de Leede,Batting Allrounder
35y 241d,Right hand Bat,Right arm Offbreak,,Netherlands,Sybrand Engelbrecht,Allrounder
29y 265d,Right hand Bat,Right arm Offbreak,,Netherlands,Teja Nidamanuru,Allrounder
21y 258d,Right hand Bat,Slow Left arm Orthodox,,Netherlands,Tim Pringle,Allrounder
27y 46d,Right hand Bat,Legbreak,,Netherlands,Saqib Zulfiqar,Bowling Allrounder
21y 1d,Right hand Bat,Right arm Offbreak,,Netherlands,Aryan Dutt,Bowler
29y 203d,Right hand Bat,Right arm Medium fast,,Netherlands,Vivian Kingma,Bowler
22y 315d,Right hand Bat,Right arm Medium,,Netherlands,Kyle Klein,Bowler
33y 249d,Right hand Bat,Right arm Medium fast,,Netherlands,Logan van Beek,Bowler
31y 119d,Right hand Bat,Right arm Fast medium,,Netherlands,Paul van Meekeren,Bowler
26y 213d,Left hand Bat,Slow Left arm Orthodox,,Netherlands,Daniel Doram,Bowler
