Age,Batting,Bowling,Cap,Country,Name,Role
22y 155d,Right hand Bat,,(vc),Afghanistan Squad,Rahmanullah Gurbaz,Wicketkeeper Batter
26y 39d,Left hand Bat,Slow Left arm Orthodox,,Afghanistan Squad,Hazratullah Zazai,Opening Batter
22y 141d,Right hand Bat,Right arm Medium fast,,Afghanistan Squad,Ibrahim Zadran,Opening Batter
19y 90d,Right hand Bat,,†,Afghanistan Squad,Mohammad Ishaq,Wicketkeeper Batter
31y 73d,Left hand Bat,Right arm Offbreak,,Afghanistan Squad,Najibullah Zadran,Middle order Batter
25y 224d,Right hand Bat,Legbreak Googly,(c),Afghanistan Squad,Rashid Khan,Bowling Allrounder
24y 38d,Right hand Bat,Right arm Medium fast,,Afghanistan Squad,Azmatullah Omarzai,Allrounder
32y 332d,Right hand Bat,Right arm Medium fast,,Afghanistan Squad,Gulbadin Naib,Batting Allrounder
25y 264d,Right hand Bat,Right arm Medium,,Afghanistan Squad,Karim Janat,Bowling Allrounder
39y 121d,Right hand Bat,Right arm Offbreak,,Afghanistan Squad,Mohammad Nabi,Allrounder
20y 6d,Left hand Bat,Slow Left arm Orthodox,,Afghanistan Squad,Nangeyalia Kharote,Allrounder
29y 265d,Left hand Bat,Left arm Fast medium,,Afghanistan Squad,Fareed Ahmad,Bowler
23y 222d,Right hand Bat,Left arm Fast medium,,Afghanistan Squad,Fazalhaq Farooqi,Bowler
24y 221d,Right hand Bat,Right arm Medium fast,,Afghanistan Squad,Naveen-ul-Haq,Bowler
19y 119d,Right hand Bat,Left arm Wrist spin,,Afghanistan Squad,Noor Ahmad,Bowler
23y 34d,Right hand Bat,Right arm Offbreak,,Afghanistan Squad,Mujeeb Ur Rahman,Bowler
30y 285d,Right hand Bat,Right arm Medium fast,(c),West Indies Squad,Rovman Powell,Middle order Batter
35y 110d,Right hand Bat,,†,West Indies Squad,Johnson Charles,Wicketkeeper Batter
27y 129d,Left hand Bat,,,West Indies Squad,Shimron Hetmyer,Middle order Batter
30y 175d,Right hand Bat,,†,West Indies Squad,Shai Hope,Wicketkeeper Batter
28y 214d,Left hand Bat,Right arm Offbreak,†,West Indies Squad,Nicholas Pooran,Wicketkeeper Batter
25y 262d,Left hand Bat,Right arm Fast medium,,West Indies Squad,Sherfane Rutherford,Middle order Batter
29y 139d,Right hand Bat,,,West Indies Squad,Brandon King,Top order Batter
32y 42d,Right hand Bat,Right arm Offbreak,,West Indies Squad,Roston Chase,Allrounder
31y 238d,Left hand Bat,Right arm Medium,,West Indies Squad,Kyle Mayers,Batting Allrounder
36y 4d,Right hand Bat,Right arm Fast,,West Indies Squad,Andre Russell,Allrounder
29y 159d,Right hand Bat,Right arm Fast medium,,West Indies Squad,Romario Shepherd,Bowling Allrounder
32y 180d,Right hand Bat,Right arm Medium fast,,West Indies Squad,Jason Holder,Bowling Allrounder
27y 165d,Right hand Bat,Right arm Fast,(vc),West Indies Squad,Alzarri Joseph,Bowler
31y 8d,Left hand Bat,Slow Left arm Orthodox,,West Indies Squad,Akeal Hosein,Bowler
24y 246d,Left hand Bat,Right arm Fast,,West Indies Squad,Shamar Joseph,Bowler
27y 120d,Left hand Bat,Left arm Fast medium,,West Indies Squad,Obed McCoy,Bowler
29y 35d,Left hand Bat,Slow Left arm Orthodox,,West Indies Squad,Gudakesh Motie,Bowler
31y 2d,Right hand Bat,,† (c),United States of America Squad,Monank Patel,Wicketkeeper Batter
29y 197d,Right hand Bat,Legbreak Googly,(vc),United States of America Squad,Aaron Jones,Top order Batter
30y 161d,Right hand Bat,,†,United States of America Squad,Andries Gous,Wicketkeeper Batter
29y 348d,Right hand Bat,Right arm Offbreak,,United States of America Squad,Nitish Kumar,Top order Batter
29y 131d,Right hand Bat,Right arm Medium fast,,United States of America Squad,Shayan Jahangir,Batter
30y 176d,Left hand Bat,Right arm Offbreak,,United States of America Squad,Steven Taylor,Opening Batter
33y 142d,Left hand Bat,Left arm Medium fast,,United States of America Squad,Corey Anderson,Batting Allrounder
31y 239d,Left hand Bat,Slow Left arm Orthodox,,United States of America Squad,Harmeet Singh,Bowling Allrounder
33y 78d,Right hand Bat,Right arm Offbreak,,United States of America Squad,Milind Kumar,Allrounder
36y 13d,Right hand Bat,Slow Left arm Orthodox,,United States of America Squad,Nisarg Patel,Allrounder
35y 272d,Left hand Bat,Right arm Medium,,United States of America Squad,Shadley van Schalkwyk,Allrounder
33y 142d,Right hand Bat,Right arm Fast medium,,United States of America Squad,Ali Khan,Bowler
31y 83d,Right hand Bat,Right arm Medium,,United States of America Squad,Jasdeep Singh,Bowler
33y 62d,Right hand Bat,Slow Left arm Orthodox,,United States of America Squad,Nosthush Kenjige,Bowler
32y 200d,Right hand Bat,Left arm Fast medium,,United States of America Squad,Saurabh Netravalkar,Bowler
23y 100d,Right hand Bat,,†,Uganda Squad,Fred Achelam,Wicketkeeper Batter
