name,image,,,,,,,,,,,,
Hazratullah Zazai,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65869.png,,,,,,,,,,,,
Ibrahim Zadran,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/67519.png,,,,,,,,,,,,
Najibullah Zadran,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/57991.png,,,,,,,,,,,,
Azmatullah Omarzai,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/67516.png,,,,,,,,,,,,
Gulbadin Naib,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/56961.png,,,,,,,,,,,,
Karim Janat,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65875.png,,,,,,,,,,,,
Mohammad Nabi,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/7797.png,,,,,,,,,,,,
Mohammad Ishaq,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/18543.png,,,,,,,,,,,,
Rahmanullah Gurbaz,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/68027.png,,,,,,,,,,,,
Fareed Ahmad,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/64937.png,,,,,,,,,,,,
Fazalhaq Farooqi,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/67927.png,,,,,,,,,,,,
Nangeyalia Kharote,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/67729.png,,,,,,,,,,,,
Naveen-ul-Haq,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65876.png,,,,,,,,,,,,
Noor Ahmad,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/71411.png,,,,,,,,,,,,
Rashid Khan,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65748.png,,,,,,,,,,,,
Johnson Charles,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/25890.png,,,,,,,,,,,,
Sherfane Rutherford,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/67285.png,,,,,,,,,,,,
Shimron Hetmyer,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/64861.png,,,,,,,,,,,,
Andre Russell,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/12047.png,,,,,,,,,,,,
Kyle Mayers,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/57792.png,,,,,,,,,,,,
Romario Shepherd,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66243.png,,,,,,,,,,,,
Roston Chase,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/58071.png,,,,,,,,,,,,
Rovman Powell,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65291.png,,,,,,,,,,,,
Nicholas Pooran,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63726.png,,,,,,,,,,,,
Shai Hope,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63797.png,,,,,,,,,,,,
Akeal Hosein,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/57239.png,,,,,,,,,,,,
Alzarri Joseph,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/64264.png,,,,,,,,,,,,
Gudakesh Motie,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/64262.png,,,,,,,,,,,,
Obed McCoy,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66028.png,,,,,,,,,,,,
